Name,Contact,Email,Address,Phone
"CHEEKY GOAT COFFEE","","","103a QUEENSWAY PETTS WOOD ORPINGTON BR5 1DQ",""
"Chickpea","","","",""
"Chiya Cafe","Shin","chiyauk@hotmail.com","27 High Street  Canterbury  CT1 2AZ",""
"COMMON GROUND","Eve Holland","commongroundmcr24@gmail.com","45 ASHLEY DRIVE  M270AU",""
"Cooki Bakes, Scotland","","cookibakestroon@gmail.com","COBI COOKI BAKES 51 PORTLAND STREET TROON SOUTH AYRSHIRE KA10 6AA",""
"Deep North ","CHLOE","info@deepnorth.co.uk","Multi-location:  Deep North Ouseburn  Arch 6 Stepney Bank NE1 2NP  --- Deep North Sheepfolds  Sheepfolds Stables Sunderland SR5 1BA --  Deep North Tynemouth  34 Front Street North Shields NE30 4DZ  -- Deep North Yarm  30 High Street Yarm TS15 9AE",""
"Duke Street Store","Rosie","Rosie@grump.shop","21 Grove Road Chelmsford  CM2 0EY",""
"Dune Bakery, Edinburgh","LEWIS","finance@dunebakery.com","35B High Street Edinburgh EH30 9HN",""
"EZ Ramyeon, Nottingham","","hello@ezramyeon.com","1st floor  16-22 Goosegate,  NG1 1FF Nottingham ",""
"Farouk & Kith Cafe","","","Farouk & Kith Cafe 23 Southernhay Road Leicester LE2 3TN",""
"FARRARS, STOCKPORT","Aaron","","45 florist st Stockport  Sk38dw  Delivery Address:  Farrars coffeeshop  Next to Radcliffe Market hall Radcliffe  Greater Manchester  M26 1PN",""
"FILTRD, London","Kavin","info@filtrdcafe.com","Filtrd Cafe 53 Shelton Street London WC2H 9JU",""
"Flakey, Manchester","Georgia Copp-Barton","flakeymcr@gmail.com","Ancoats General Store 57 Great Ancoats Street Blossom Street Ancoats Manchester M45AB",""
"Flavia, Derby","Naila Raqib","Sales@carpershoponline.co.uk","Carper Shop Online Northcliffe House, Meadow Road Derby, DERBYSHIRE DE12 2BH, UK",""
"Flock Coffee","","","Flat 3 Parkholme 62 Park Road Buxton SK17 6SN",""
"Forrest Coffee House","MOLLY","molly@forrestcoffeehouse.co.uk","1 The Square Kenilworth Warwickshire CV8 1EF",""
"Gabu Chocolate","Lisette","lisette@gabuchocolate.com","Unit 7 Gabriel's Wharf, 56 Upper Ground, London, Se1 9pp",""
"Gecko, London","ANDREW","andrew@geckocoffee.house","49 Bethnal Green Road London E1 6LA",""
"GO WITH THE FLOW","","Florencepanther@icloud.com","37 Willow Road  Barrow Upon Soar Le128gp",""
"Good Good Studio","Jenna Armitage","Tessa@goodgoodstudio.co.uk","Jenna Armitage, 19 Cornford Grove, London, SW12 9JE",""
"Greenhood Coffee, Nottingham","","rory@greenhoodcoffee.co.uk","38 High Road Beeston Notts NG92JP",""
"HER DAYS Cafe","Ashleigh Gascoyne","ashleigh@herdays.co.uk","24 Kingsway, Kirkby-in-Ashfield Nottinghamshire NG17 7BD",""
"Imperfect Coffee","","imperfectcoffee@gmail.com","Unit B, 1-3 Stamford New Road Altrincham WA14 1BD",""
"Kasa Cafe London","KRISHANA","kasa.invoices@gmail.com","150 New Cavendish Street  London  W1W 6YJ",""
"Khaira's Cafe","Shaina","khairascafe@gmail.com","72 Victoria Road  Fenton Stoke-on-Trent  ST4 2JX",""
"Kitchen 126","","caravanatthecottage@gmail.com","126 Southbank Road  Coventry  CV6 1FH",""
"KITCHEN COFFEE","Neev","neev@kitchenandcoffee.co.uk","10 Sherrard street melton  Mowbray  LE131XJ ",""
"KOVA CAFE","Katie Collopy","info@kovacafeuk.com","11 Condon Road  Barrow upon soar  LE12 8NQ   Delivery address: 246 Forest Road Loughborough LE11 3HX ",""
"Lookumades, Canterbury","CLIFF","accounts@lookumades.uk","29A St Margaret's Street Canterbury CT1 2TG",""
"Matcha Coffe Matcha","Tess Derry","Tess@matchacoffeematcha.co.uk","Flat 2, 6 Griffiths Road London  SW19 1SP",""
"Matcha Hour","","","",""
"Matcha Lab, Winchester","DANIELLE","danielle@thematchalabs.co.uk","19 Upper Brook St,  Winchester  SO23 8AL",""
"Matcha Mouth, Plymouth","Emily","matchamouth@yahoo.com","48 Elford Crescent Plymouth PL7 4BT",""
"Matchaa Maker, Devon","THEA","matchaamaker@gmail.com","Swallows roost  Higher sigdon  Kingsbridge  Devon  TQ7 2HG",""
"Merienda Coffee","Helen","helen@meriendacoffee.co.uk>","10 New Inn Court Otley LS21 3AJ",""
"Modern Farmhouse","Andreia","andreia@modernfarmhouse.co.uk","32 South Street, SK9 7ES",""
"Mooch, Nottingham","Liv Hewes ","mooch.notts@gmail.com","60A Nottingham Road Eastwood Nottingham  NG13 3NQ ",""
"Mr. Chai Cafe","","mrchai.sheffield@gmail.com","77-79 London Road Sheffield  S2 4LE",""
"Mtcha Made, Essex","JESSICA","Hello@mtchamade.co.uk","6 Hillside Grove Chelmsford Essex CM2 9DA",""
"Neves Gaff, Doncaster","","Neve@live.co.uk","",""
"Nuda, Liverpool","LEANNE","l.jones89691430@gmail.com","48 Ashville Road Wallasey CH44 9EU",""
"Osoto Coffee","","osotocoffee@outlook.com","OSOTO COFFEE, 43-47 QUEENSWAY, VINILO RECORD STORE, SOUTHAMPTON, HAMPSHIRE, So14 3BL",""
"Ours Cafe","","ourscafeltd@gmail.com","Ours Cafe (Old Fire Station)  Court Street  Faversham  ME13 7AL  England",""
"POLLEN BAKERY, MANCHESTER","","chris@pollenbakery.co.uk","42 Aytoun Street Manchester M1 3GL",""
"POOKIES, GRANTHAM","","","79 London Road Grantham  NG31 6HW",""
"Raw Lab, Brighton","","sophiachk@gmail.com","",""
"Revival Fitness, Bournemouth","","danielle@revivalwellness.co.uk","79 Old Christchurch Road  Bournemouth  BH1 1EW",""
"Riptide Espresso, Dorset","SAM","hello@riptideespresso.co.uk","2 Grand Parade High Street Poole Dorset BH15 1AD",""
"Roasted Coffee, Scotland","Jeannie","roastcoffeehouseltd@gmail.com","9 Carfin Street New Stevenston Motherwell ML1 4JL",""
"RONNIE’S KITCHEN, BUXTON","Ronnie","","40 Glenmoor Road Buxton Sk177DD",""
"Roots Cafe, London","NAOMI","rootsprimrosehill@gmail.com","107 Regent's Park Road NW1 8UR",""
"Seesaw Cafe, Manchester","KACPER","Cafe@seesawspace.com","86 Princess St Manchester M1 6NG",""
"Simply Nourish Kitchen","Leon","","76 Stamford street Stalybridge SK15 1LQ",""
"SIP, KENT","Rachel Grimshaw","","Sisu Unit 19 Lakeside Park Neptune Park Rochester Kent ME24LT",""
"SOS COFFEE, LONDON","Robert","coffeetripltd@gmail.com","333 New Cross Road, SE14 6AT, London","+44 (0) 7521 528243"
"Strutt Bakehouse, Derby","Krishana Krashina","hello@struttbakehouse.co.uk","3 Strutt Street Belper Derbyshire DE56 1UN",""
"Studio 1 (Common Ground)","Calvin","calvin@commongrnd.co.uk","31 New Inn Yard Shoreditch London EC2A 3EY",""
"Sunday Coffee and Kitchen Ltd","Freya","Freyaatk@icloud.com","7 Leven Road Norton TS20 1BQ",""
"SURBEANTON","","info@surbeantoncoffee.com","48 Victoria Road Surbiton London KT6 4JL",""
"THE COFFEE PRESS, NORTHAMPTON","","Thecoffeepress.nn@gmail.com","4 HARLESTONE ROAD NORTHAMPTON NN5 5DN",""
"The Matcha Spot","Neima","thematchaspot.info@gmail.com","16 CAMPO LANE SHEFFIELD S1 2EF",""
"The Salad Lab","JOSH","Saladlableigh@outlook.com","54-56 Elm Road Leigh on Sea Essex SS9 1SN",""
"The Spot, London","BELLA","admin@thespot.coffee","",""
"Tipples&Tonics, Lichfield","HANNAH","tipplesandtonics@outlook.com","",""
"Village Bakery","SAM","","71 ORFORD ROAD LONDON E17 9NJ",""
"WE ARE LARDER, CARELTON","","hello@wearelarder.com","76 Norbreck Road, Thornton Cleveleys FY5 1RP",""
"With Milk Cafe","","info@withmilklondon.co.uk","Unit D & E,  67 Lawrence Road N15 4GL",""
